Date,Volume,Value,Open,High,Low,Close,Change,Transaction
2017-06-07,"1,844,790","143,852,570",77.9,78.1,77.7,77.95, 0.00,485
2017-06-08,"1,886,861","147,421,476",77.95,78.25,77.8,78.25,+0.30,489
2017-06-09,"3,010,414","235,254,296",78.05,78.35,77.95,78.0,-0.25,"1,261"
2017-06-12,"3,300,815","254,991,488",77.15,77.5,77.05,77.15,-0.85,"1,008"
2017-06-13,"1,615,980","124,661,164",77.15,77.3,77.0,77.25,+0.10,437
2017-06-14,"3,380,592","259,920,485",77.4,77.4,76.5,76.85,-0.40,775
2017-06-15,"1,507,476","115,742,992",76.8,76.9,76.6,76.9,+0.05,473
2017-06-16,"4,233,093","327,234,575",76.9,77.7,76.85,77.7,+0.80,711
2017-06-19,"5,144,835","403,115,770",77.7,78.55,77.7,78.55,+0.85,"1,459"
2017-06-20,"4,046,834","320,905,688",78.6,79.65,78.6,79.45,+0.90,"1,306"
2017-06-21,"13,612,954","1,084,759,757",79.2,79.9,78.85,79.55,+0.10,"2,001"
2017-06-22,"6,112,800","487,656,013",79.6,79.85,79.55,79.75,+0.20,"1,120"
2017-06-23,"8,517,089","679,313,575",79.75,80.05,79.65,79.7,-0.05,"3,426"
2017-06-26,"14,254,481","1,152,368,187",79.8,81.5,79.8,81.4,+1.70,"2,367"
2017-06-27,"3,026,202","245,706,817",81.4,81.5,81.0,81.3,-0.10,"1,145"
2017-06-28,"6,286,912","506,227,717",80.9,81.05,80.3,80.55,-0.75,"2,321"
2017-06-29,"1,427,255","115,380,165",81.0,81.05,80.5,80.65,+0.10,513
2017-06-30,"3,070,653","245,991,027",80.1,80.4,79.8,80.4,-0.25,854
2017-07-03,"1,551,046","124,698,923",80.4,80.6,80.2,80.45,+0.05,619
2017-07-04,"1,237,199","99,372,295",80.45,80.6,80.0,80.0,-0.45,522
2017-07-05,"2,274,312","182,530,450",80.1,80.75,79.75,80.75,+0.75,765
2017-07-06,"2,492,419","200,268,697",80.75,80.75,80.2,80.4,-0.35,715
2017-07-07,"3,569,810","285,400,443",80.25,80.25,79.8,79.95,-0.45,"1,199"
2017-07-10,"3,549,929","284,770,751",80.0,80.45,80.0,80.35,+0.40,"1,183"
2017-07-11,"4,138,771","336,245,539",80.7,81.55,80.55,81.55,+1.20,"1,699"
2017-07-12,"3,948,227","322,132,882",81.5,81.8,81.3,81.55, 0.00,"1,168"
2017-07-13,"3,992,624","328,058,991",81.95,82.4,81.75,82.2,+0.65,"1,055"
2017-07-14,"2,281,634","187,062,793",82.0,82.15,81.8,82.05,-0.15,903
2017-07-17,"2,687,643","221,106,322",82.5,82.55,82.0,82.2,+0.15,916
2017-07-18,"3,277,706","269,432,663",82.2,82.4,81.85,82.4,+0.20,799
2017-07-19,"7,267,690","601,075,693",82.35,83.0,82.35,82.7,+0.30,"2,647"
2017-07-20,"2,020,686","167,118,472",82.85,82.9,82.55,82.65,-0.05,564
2017-07-21,"4,465,912","367,035,273",82.6,82.6,82.05,82.1,-0.55,"1,448"
2017-07-24,"2,364,317","194,054,288",81.95,82.3,81.75,82.3,+0.20,973
2017-07-25,"2,126,646","175,014,217",82.3,82.5,82.1,82.45,+0.15,676
2017-07-26,"2,357,445","194,141,125",82.55,82.75,82.05,82.15,-0.30,865
2017-07-27,"2,213,720","183,279,010",82.2,83.0,82.2,83.0,+0.85,696
2017-07-28,"4,401,601","361,925,338",82.4,82.45,81.95,82.1,-0.90,"1,291"
2017-07-31,"2,806,599","228,312,297",81.45,81.5,81.05,81.35,X0.00,879
2017-08-01,"2,642,390","216,364,087",82.15,82.15,81.55,81.8,+0.45,732
2017-08-02,"5,045,458","415,944,445",82.0,82.65,82.0,82.5,+0.70,"1,221"
2017-08-03,"4,029,108","330,913,722",81.85,82.35,81.7,82.2,-0.30,827
2017-08-04,"1,143,998","94,089,503",82.15,82.35,82.05,82.35,+0.15,427
2017-08-07,"4,108,819","340,304,464",82.45,83.0,82.45,82.95,+0.60,"1,251"
2017-08-08,"2,985,746","247,502,919",83.05,83.25,82.55,82.9,-0.05,728
2017-08-09,"3,122,228","256,746,634",82.55,82.6,82.05,82.15,-0.75,"1,325"
2017-08-10,"3,168,994","258,728,506",82.35,82.45,81.35,81.6,-0.55,"1,480"
2017-08-11,"2,747,290","222,731,207",80.85,81.35,80.75,81.25,-0.35,"1,267"
2017-08-14,"2,245,412","182,056,872",81.45,81.6,80.75,80.75,-0.50,"1,259"
2017-08-15,"2,708,861","220,017,887",81.3,81.5,80.95,81.3,+0.55,"1,240"
2017-08-16,"6,282,836","507,696,840",81.15,81.25,80.6,81.0,-0.30,"3,347"
2017-08-17,"1,968,802","160,481,161",81.25,81.7,81.15,81.65,+0.65,"1,359"
2017-08-18,"2,315,643","187,445,943",81.0,81.15,80.65,81.15,-0.50,"1,477"
2017-08-21,"2,050,279","166,059,249",81.05,81.2,80.75,81.05,-0.10,"1,214"
2017-08-22,"3,986,645","326,026,244",81.45,81.9,81.45,81.85,+0.80,"1,808"
2017-08-23,"5,504,507","451,486,956",82.0,82.25,81.75,81.75,-0.10,"1,548"
2017-08-24,"3,487,871","287,289,732",81.85,82.55,81.85,82.55,+0.80,"1,621"
2017-08-25,"2,614,758","216,110,040",82.65,82.75,82.4,82.7,+0.15,"1,497"
2017-08-28,"2,773,226","229,032,672",82.7,82.8,82.4,82.55,-0.15,"1,625"
2017-08-29,"1,228,682","100,988,135",82.25,82.4,81.95,82.3,-0.25,758
2017-08-30,"4,119,943","340,949,183",82.65,82.9,82.6,82.7,+0.40,"1,574"
2017-08-31,"3,284,317","272,401,261",83.15,83.15,82.7,82.95,+0.25,863
2017-09-01,"4,429,357","367,698,896",82.95,83.2,82.65,83.0,+0.05,"1,242"
2017-09-04,"2,595,960","215,379,980",82.9,83.05,82.7,82.85,-0.15,"1,249"
2017-09-05,"2,564,014","212,297,667",82.9,83.0,82.65,82.95,+0.10,894
2017-09-06,"2,891,459","239,135,774",82.7,82.9,82.35,82.6,-0.35,733
2017-09-07,"1,368,850","112,962,000",82.8,82.85,82.2,82.25,-0.35,523
2017-09-08,"2,841,807","235,025,531",82.4,82.9,82.4,82.7,+0.45,460
2017-09-11,"1,627,740","134,840,770",83.25,83.35,82.5,82.55,-0.15,641
2017-09-12,"1,394,251","115,579,395",82.95,83.05,82.65,82.85,+0.30,484
2017-09-13,"2,175,414","179,336,920",82.9,83.0,82.25,82.3,-0.55,853
2017-09-14,"1,749,686","144,135,177",82.3,82.55,82.15,82.35,+0.05,543
2017-09-15,"1,821,006","149,836,316",82.35,82.5,82.1,82.35, 0.00,666
2017-09-18,"2,692,818","223,439,577",82.85,83.15,82.6,83.15,+0.80,"1,093"
2017-09-19,"1,456,448","120,871,287",83.2,83.3,82.65,82.75,-0.40,689
2017-09-20,"9,963,674","818,692,732",82.5,82.65,82.1,82.2,-0.55,"3,861"
2017-09-21,"1,830,228","150,729,480",82.05,82.8,81.95,82.7,+0.50,677
2017-09-22,"5,605,786","458,418,952",82.6,82.6,81.55,81.6,-1.10,"1,799"
2017-09-25,"7,071,046","572,821,645",81.55,81.55,80.75,80.95,-0.65,"3,080"
2017-09-26,"11,752,300","947,629,479",80.8,81.05,80.3,80.3,-0.65,"4,705"
2017-09-27,"6,242,902","504,135,812",80.6,80.9,80.55,80.7,+0.40,"2,313"
2017-09-28,"6,899,317","555,464,689",80.75,80.8,80.3,80.4,-0.30,"2,076"
2017-09-29,"3,443,865","277,186,537",80.45,80.65,80.3,80.65,+0.25,"1,210"
2017-09-30,"1,585,133","128,476,096",81.0,81.2,80.85,81.2,+0.55,801
2017-10-02,"3,261,192","265,639,968",81.25,81.6,81.25,81.5,+0.30,931
2017-10-03,"1,578,103","128,664,783",81.55,81.7,81.3,81.5, 0.00,573
2017-10-05,"6,407,078","524,400,046",81.5,82.1,81.5,81.85,+0.35,851
2017-10-06,"4,126,781","338,645,008",82.1,82.2,81.95,82.1,+0.25,"1,028"
2017-10-11,"15,975,456","1,328,351,032",82.45,83.4,82.45,83.4,+1.30,"5,338"
2017-10-12,"8,770,044","736,349,192",83.55,84.2,83.55,84.2,+0.80,"3,463"
2017-10-13,"3,596,016","301,743,272",83.95,84.05,83.75,84.05,-0.15,"1,384"
2017-10-16,"4,045,713","340,972,938",84.05,84.5,84.05,84.5,+0.45,"1,852"
2017-10-17,"3,233,897","273,273,995",84.55,84.7,84.3,84.3,-0.20,"1,105"
2017-10-18,"4,472,628","378,300,867",84.8,85.0,84.3,84.6,+0.30,"1,094"
2017-10-19,"2,447,441","208,033,714",84.7,85.2,84.7,84.9,+0.30,895
2017-10-20,"1,725,562","146,031,654",84.4,84.85,84.4,84.55,-0.35,620
2017-10-23,"1,771,858","149,959,192",84.7,84.95,84.45,84.5,-0.05,527
2017-10-24,"1,072,153","90,505,455",84.5,84.5,84.2,84.4,-0.10,408
2017-10-25,"2,416,641","203,863,633",84.3,84.6,84.2,84.35,-0.05,545
2017-10-26,"3,226,482","271,833,233",84.15,84.4,84.0,84.25,-0.10,792
2017-10-27,"2,141,138","180,898,607",84.3,84.75,84.2,84.3,+0.05,561
